date,views
2012-04-12,4265
2012-04-13,4484
2012-04-14,5045
2012-04-15,4433
2012-04-16,3944
2012-04-17,4128
2012-04-18,4303
2012-04-19,4290
2012-04-20,4611
2012-04-21,5019
2012-04-22,4461
2012-04-23,4053
2012-04-24,4162
2012-04-25,3927
2012-04-26,4175
2012-04-27,4551
2012-04-28,5068
2012-04-29,4716
2012-04-30,4350
2012-05-01,4532
2012-05-02,4322
2012-05-03,4390
2012-05-04,4870
2012-05-05,5355
2012-05-06,4523
2012-05-07,4060
2012-05-08,4031
2012-05-09,4261
2012-05-10,4279
2012-05-11,4540
2012-05-12,4822
2012-05-13,4288
2012-05-14,3950
2012-05-15,4164
2012-05-16,4504
2012-05-17,4664
2012-05-18,4652
2012-05-19,4777
2012-05-20,4256
2012-05-21,3960
2012-05-22,4281
2012-05-23,4188
2012-05-24,4024
2012-05-25,4772
2012-05-26,5268
2012-05-27,4607
2012-05-28,4278
2012-05-29,4170
2012-05-30,4337
2012-05-31,4382
2012-06-01,4703
2012-06-02,5129
2012-06-03,4801
2012-06-04,4298
2012-06-05,4518
2012-06-06,4595
2012-06-07,4606
2012-06-08,4442
2012-06-09,5002
2012-06-10,4454
2012-06-11,4213
2012-06-12,4379
2012-06-13,4120
2012-06-14,4082
2012-06-15,4223
2012-06-16,4239
2012-06-17,4049
2012-06-18,4091
2012-06-19,4098
2012-06-20,4250
2012-06-21,4165
2012-06-22,4241
2012-06-23,4074
2012-06-24,4041
2012-06-25,4257
2012-06-26,3926
2012-06-27,3931
2012-06-28,4386
2012-06-29,4131
2012-06-30,3784
2012-07-01,3773
2012-07-02,3821
2012-07-03,3782
2012-07-04,3724
2012-07-05,3786
2012-07-06,3849
2012-07-07,3939
2012-07-08,3888
2012-07-09,3795
2012-07-10,4066
2012-07-11,3981
2012-07-12,4287
2012-07-13,4350
2012-07-14,4103
2012-07-15,3966
2012-07-16,4028
2012-07-17,4184
2012-07-18,4004
2012-07-19,4186
2012-07-20,4225
2012-07-21,4219
2012-07-22,3936
2012-07-23,4236
2012-07-24,5073
2012-07-25,5007
2012-07-26,5177
2012-07-27,4568
2012-07-28,4389
2012-07-29,4216
2012-07-30,4334
2012-07-31,4228
2012-08-01,4363
2012-08-02,4584
2012-08-03,4803
2012-08-04,4548
2012-08-05,4252
2012-08-06,4538
2012-08-07,4722
2012-08-08,4873
2012-08-09,4710
2012-08-10,4847
2012-08-11,5111
2012-08-12,4524
2012-08-13,2658
2012-08-14,2650
2012-08-15,3050
2012-08-16,3307
2012-08-17,3381
2012-08-18,3224
2012-08-19,3015
2012-08-20,3142
2012-08-21,3258
2012-08-22,3809
2012-08-23,5138
2012-08-24,5096
2012-08-25,5132
2012-08-26,5551
2012-08-27,5266
2012-08-28,4651
2012-08-29,4869
2012-08-30,4807
2012-08-31,6565
2012-09-01,6315
2012-09-02,6019
2012-09-03,5760
2012-09-04,5696
2012-09-05,5547
2012-09-06,5719
2012-09-07,5907
2012-09-08,6133
2012-09-09,6165
2012-09-10,5628
2012-09-11,5705
2012-09-12,5892
2012-09-13,7076
2012-09-14,6932
2012-09-15,6478
2012-09-16,6396
2012-09-17,5981
2012-09-18,7720
2012-09-19,10236
2012-09-20,11008
2012-09-21,9719
2012-09-22,7922
2012-09-23,8021
2012-09-24,7520
2012-09-25,7696
2012-09-26,7966
2012-09-27,7655
2012-09-28,10616
2012-09-29,12381
2012-09-30,12542
2012-10-01,12394
2012-10-02,15971
2012-10-03,14708
2012-10-04,12340
2012-10-05,12970
2012-10-06,13867
2012-10-07,14505
2012-10-08,13545
2012-10-09,13905
2012-10-10,13613
2012-10-11,14543
2012-10-12,14472
2012-10-13,15399
2012-10-14,15392
2012-10-15,14456
2012-10-16,14378
2012-10-17,15414
2012-10-18,15742
2012-10-19,15766
2012-10-20,16814
2012-10-21,17876
2012-10-22,16529
2012-10-23,16940
2012-10-24,17894
2012-10-25,19387
2012-10-26,20144
2012-10-27,24687
2012-10-28,25284
2012-10-29,23351
2012-10-30,21931
2012-10-31,21056
2012-11-01,26854
2012-11-02,27957
2012-11-03,30104
2012-11-04,34134
2012-11-05,32415
2012-11-06,33194
2012-11-07,37552
2012-11-08,37071
2012-11-09,37647
2012-11-10,42720
2012-11-11,44836
2012-11-12,46402
2012-11-13,46709
2012-11-14,52218
2012-11-15,55234
2012-11-16,58288
2012-11-17,64276
2012-11-18,72277
2012-11-19,70870
2012-11-20,76507
2012-11-21,85854
2012-11-22,78968
2012-11-23,82594
2012-11-24,95527
2012-11-25,105536
2012-11-26,95637
2012-11-27,101938
2012-11-28,106640
2012-11-29,107464
2012-11-30,127545
2012-12-01,170626
2012-12-02,180985
2012-12-03,161621
2012-12-04,193562
2012-12-05,181348
2012-12-06,199856
2012-12-07,195991
2012-12-08,206564
2012-12-09,202689
2012-12-10,179888
2012-12-11,192044
2012-12-12,185199
2012-12-13,198083
2012-12-14,198528
2012-12-15,209281
2012-12-16,201146
2012-12-17,197756
2012-12-18,215745
2012-12-19,231537
2012-12-20,277477
2012-12-21,297983
2012-12-22,285143
2012-12-23,375366
2012-12-24,648211
2012-12-25,335369
2012-12-26,114905
2012-12-27,74824
2012-12-28,59740
2012-12-29,53758
2012-12-30,53221
2012-12-31,63840
2013-01-01,31140
2013-01-02,28291
2013-01-03,24844
2013-01-04,24896
2013-01-05,24554
2013-01-06,24952
2013-01-07,23721
2013-01-08,20388
2013-01-09,19382
2013-01-10,18376
2013-01-11,19166
2013-01-12,21228
2013-01-13,19361
2013-01-14,16484
2013-01-15,16743
2013-01-16,18242
2013-01-17,20109
2013-01-18,17685
2013-01-19,14312
2013-01-20,13195
2013-01-21,10692
2013-01-22,10683
2013-01-23,11253
2013-01-24,13498
2013-01-25,18238
2013-01-26,19916
2013-01-27,16989
2013-01-28,15238
2013-01-29,15402
2013-01-30,15353
2013-01-31,15635
2013-02-01,17502
2013-02-02,18570
2013-02-03,16374
2013-02-04,13921
2013-02-05,14349
2013-02-06,14715
2013-02-07,15493
2013-02-08,14598
2013-02-09,16442
2013-02-10,14132
2013-02-11,13170
2013-02-12,13048
2013-02-13,13973
2013-02-14,14233
2013-02-15,14720
2013-02-16,16039
2013-02-17,14605
2013-02-18,13042
2013-02-19,13356
2013-02-20,13358
2013-02-21,13823
2013-02-22,9980
2013-02-23,10878
2013-02-24,9241
2013-02-25,7575
2013-02-26,7908
2013-02-27,7848
2013-02-28,8219
2013-03-01,8638
2013-03-02,9716
2013-03-03,8130
2013-03-04,5585
2013-03-05,5519
2013-03-06,6569
2013-03-07,11433
2013-03-08,13610
2013-03-09,15984
2013-03-10,14009
2013-03-11,13110
2013-03-12,12173
2013-03-13,12049
2013-03-14,11973
2013-03-15,7987
2013-03-16,10650
2013-03-17,9348
2013-03-18,8201
2013-03-19,11181
2013-03-20,11530
2013-03-21,9936
2013-03-22,5686
2013-03-23,7762
2013-03-24,7130
2013-03-25,6095
2013-03-26,7297
2013-03-27,7415
2013-03-28,6735
2013-03-29,8258
2013-03-30,7951
2013-03-31,7397
2013-04-01,6195
2013-04-02,6371
2013-04-03,6634
2013-04-04,6676
2013-04-05,6352
2013-04-06,6732
2013-04-07,6566
2013-04-08,5695
2013-04-09,5527
2013-04-10,6311
2013-04-11,6512
2013-04-12,6992
2013-04-13,7123
2013-04-14,7492
2013-04-15,6200
2013-04-16,6127
2013-04-17,7056
2013-04-18,6239
2013-04-19,7270
2013-04-20,7220
2013-04-21,6892
2013-04-22,5980
2013-04-23,6216
2013-04-24,6431
2013-04-25,6316
2013-04-26,6306
2013-04-27,7579
2013-04-28,6943
2013-04-29,6245
2013-04-30,6325
2013-05-01,6521
2013-05-02,6455
2013-05-03,6713
2013-05-04,7133
2013-05-05,6609
2013-05-06,6018
2013-05-07,6409
2013-05-08,6725
2013-05-09,6681
2013-05-10,7419
2013-05-11,7856
2013-05-12,6726
2013-05-13,6575
2013-05-14,6544
2013-05-15,6985
2013-05-16,7258
2013-05-17,8197
2013-05-18,8615
2013-05-19,7711
2013-05-20,7271
2013-05-21,7394
2013-05-22,7374
2013-05-23,7049
2013-05-24,7555
2013-05-25,8581
2013-05-26,7607
2013-05-27,7232
2013-05-28,6994
2013-05-29,6787
2013-05-30,6645
2013-05-31,7065
2013-06-01,7235
2013-06-02,7346
2013-06-03,6836
2013-06-04,7053
2013-06-05,7171
2013-06-06,7413
2013-06-07,4949
2013-06-08,4758
2013-06-09,4467
2013-06-10,4509
2013-06-11,4407
2013-06-12,4418
2013-06-13,4237
2013-06-14,4481
2013-06-15,4869
2013-06-16,4714
2013-06-17,4623
2013-06-18,4498
2013-06-19,4532
2013-06-20,4466
2013-06-21,4934
2013-06-22,4949
2013-06-23,4651
2013-06-24,4657
2013-06-25,4102
